barcode,product_name,brands,categories,ingredients,energy_kcal,fat_g,saturated_fat_g,carbohydrates_g,sugars_g,fiber_g,protein_g,salt_g,sodium_g,nutriscore_grade,nutriscore_score,nova_group
6111242100992,Perly,Jaouda,"Snacks, Plain fermented dairy desserts with cream","milk cream, cream, sugar, banana, bacteria",97,3,0,9.4,9.4,0,8,0,0,a,0,3 - Processed foods
8901719134845,Parle-G Biscuit,Parle,Dry biscuits,"REFINED WHEAT FLOUR (MAIDA) 68%, SUGAR, REFINED PALM OIL, INVERT SUGAR SYRUP (SUGAR, CITRIC ACID), IODISED SALT, RAISING AGENTS [INS 503(ii), 500(ii)], MILK SOLIDS, FLOUR TREATMENT AGENTS [INS 1101(ii)] AND EMULSIFIER OF VEGETABLE ORIGIN [INS 472e] CONTAINS ADDED FLAVOURS (ARTIFICIAL FLAVOURING SUBSTANCE - VANILLA)mm",454,13,6,77.3,25.5,0,6.9,0.74,0.296,e,20,4 - Ultra processed food and drink products
8901719134852,Parle G biscuit,Parle,Biscuits,Energy.protrin.carbohydrate.,3.4,13,6,77.3,25.5,0,6.9,0,0,d,13,
8901063139329,bourbon,britannia,Biscuits,"Flavoured Sandwich BiscuitsINGREDIENTS: REFINED WHEAT FLOUR (MAIDAL SUGAR (331 Nutr REFINED PALM OIL, EDIBLE MAIZE STARCH, COCOA SOLIDS (2:7% Per 1 MILK SOLIDS, RAISING AGENTS (500i)& 503(0)1, EMULSIRERS r (471& 322(0)) AND IODISED SALT, CONTAINS PERMITTED HATURAL (150a&150d)&SYNTHETIC (122,110, 133&102) FOOD COLOURS AND ADDED FLAVOURS (NATURE IDENTICAL&ARTIFICIAL (VANILLA, CHOCOLATE MILK MILKY COCOA) FLAVOURING SUBSTANCES (Numbers in brackets as per International Numbering System CONTAINS WHEAT, MILK AND SOYA STORE IN A CO00L, HYGIENIC AND DRY PLACE TRANSFER wChole CONTENTS T0 A CLEAN AIRTIGHT CONTAINER ONCE OPENEDof wFatEner",492,19.9,7.7,73.4,37,0,4.7,295,118,e,43,4 - Ultra processed food and drink products
8906010500764,balaji wafers chataka pataka,Balaji,"Biscuits, Crisps, Crackers (Appetizers), namkeen","RICE MEAL (43%), EDIBLE VEGETABLE OIL (PALMOLEIN, RICE BRAN), CORN MEAL (3%), CHICKPEA FLOUR, EDIBLE COMMON SALT, SPICES & CONDIMENTS 2% (CUMIN, CHILLI BLACK PEPPER, DRY MANGO), DEHYDRATED VEGETABLE POWDER (ONION, GARLIC) SUGAR, ACIDITY REGULATOR (INS 330), ANTICAKING AGENT (INS 551), FLAVOUR ENHANCER (INS 627, INS 631), NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES (GARLIC, BLACK PEPPER), PAPRIKA EXTRACT (INS 160C)",514,25,12,63.3,2,0,7,0.868,0.3472,e,20,4 - Ultra processed food and drink products
8901063093522,Good Day - Cashew Cookies,Britannia,"Biscuits or cookies variety packs, Biscuit mixes, Biscuits/Cookies (Shelf Stable)","INGREDIENTS REFINED WHEAT FLOUR (MAIDA), EDIBLE VEGETABLE OIL (PALM), SUGAR, CASHEW NUTS (4.5%), INVERT SYRUP, MILK SOLIDS, BUTTER (96%), RAISING AGENTS (503&5000TH 100ISED SALT AND EMULSIFIERS (322,471,472) CONTAINS ADDED FLAVOURS (NATURE IDENTICAL AND ARTIFICIAL (MILK AND VANILLA) FLAVOURING SUBSTANCES! (Numbers in brackets as per laternational Numbering System) CONTAINS WHEAT, NUTS, MILK AND SOYA.",512,24,11,67,22,0,7,0,0,unknown,0,4 - Ultra processed food and drink products
8901063162914,Marie Gold Biscuit,Britannia,Biscuits,"REFINED WHEAT FLOUR (MAIDA) (73%), SUGAR, REFINED PALM OIL, INVERT SUGAR SYRUP, MILK PRODUCTS (MILK SOLIDS & SWEETENED CONDENSED PARTLY SKIMMED MILK), RAISING AGENTS [503(i)&500), 10DISED SALT, MINERALS, ARTIFICIAL (MILK & VANILLA) & NATURE IDENTICAL FLAVOURING SUBSTANCES, EMULSIFIER (472e), DOUGH CONDITIONER (223) VITAMINS AND COLOUR (150d).",445,10.6,5.1,79.5,21.2,0,7.9,0.79,0.316,e,19,4 - Ultra processed food and drink products
8906010500245,Balaji Wafers Masala Sev Murmura,Balaji Wafers,Wafers,,482,23.2,10.5,53.8,9.4,7,10.9,2.0275,0.811,e,24,
8906010502232,Balaji wafers panjabi tadka,Balaji,"Crisps, Namkeen","EDIBLE VEGETABLE OIL (PALMOLEIN, RICE BRAN), POTATO FLAKES (23%), CHICKPEA FLOUR (19%), MOTH BEAN FLOUR, STARCH, BLACK SALT, EDIBLE COMMON SALT, SUGAR, DEHYDRATED VEGETABLE POWDER ONION GARLIC, SPICES & CONDIMENTS (CHILLI, DRY MANGO, CUMIN, CORIANDER TURMERIC, NUTMEG, MACE), MILK SOLIDS (WHEY) (0.06%), HYDROLYZED VEGETABLE PROTEIN (SOYA), ACIDITY REGULATOR (INS 296, INS 330 ANTICAKING AGENT (INS 551), FLAVOUR ENHANCER (INS 627, INS 631 TURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES (CHILLI, CUMIN",608,43.9,20.7,42.3,2,6.5,7.7,2.5825,1.033,e,25,4 - Ultra processed food and drink products
8906010500900,wheels,Balaji,Appetizers,"REFINED WHEAT FLOUR (MAIDA) (60%), EDIBLE VEGETABLE OIL (PALMOLEIN, RICE BRAN), TAPIOCA STARCH, CORN FLOUR, EDIBLE COMMON SALT, DEHYDRATED VEGETABLE POWDER (ONION, GARLIC, TAMARIND), SPICES & CONDIMENTS 2% (DRY MANGO, CHILLI, PEPPER, CUMIN), SUGAR, YEAST EXTRACT, ACIDITY REGULATOR (INS 296, INS 330, INS 334), NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES (MASALA), FLAVOUR ENHANCER (INS 627, INS 631), ANTICAKING AGENT (INS 551, INS 341 (III)), PAPRIKA EXTRACT (INS 160C).",484,21.5,10.3,62.6,3,0,75,355942.5,142377,e,36,4 - Ultra processed food and drink products
8906010500023,POTATO WAFERS,Balaji,"Appetizers, POTATO WAFERS","POTATO (89%), EDIBLE VEGETABLE OIL (PALMOLEIN), EDIBLE COMMON SALT (0.4%).",0,32.9,15.7,53.4,0.8,7.2,7.7,962.5,385,e,27,3 - Processed foods
7622202225512,Original Oreo,Cadbury,"Filled biscuits, Des","Refined Wheat Flour (Maida), Sugar, Fractionated Fat, Palmolein, Invert Sugar, Cocoa Solids (2%) Lening Agents 50g (i), 503(ii), Starch, lodised Salt, Emulsifies Naturetical Flavouring Substances. Allergen Inition Contains Wheat, Sulphite, Soy. May Contain and Barley. T&C apply €40 e 2025/7/18 21:04",483,19.6,9.7,71.9,38.9,0,5.2,1.05,0.42,e,31,4 - Ultra processed food and drink products
8901063092853,Good Day cashew cookie,Britannia,Biscuits,"REFINED WHEAT FLOUR, SUGAR, EDIBLE VEGETABLE OIL (PALM), SUGAR, CASHEW BUTS (4.5%), INTERESTERIFIED VEGETABLE FAT, COCOA SOLIDS (3%), INVERT SYRUP, MILK SOLIDS, BUTTER (0.6%) RAISING AGENTS [503(II), 500(II), IODISED SALT AND EMULSIFIER(322, 471, 472E). CONTAINS ADDED FLAVOURS [NATURE IDENTICAL AND ARTIFICIAL FLAVOURING SUBSTANCES - MILK AND VANILLA]",504,24,11,65,22,0,7,0.545,0.218,e,24,4 - Ultra processed food and drink products
8901719129988,Happy happy - Parl,Parle,"Biscuits, Happy happy biscuit","REFINED WHEAT FLOUR(MAIDA), SUGAR, REFINED PALM OIL, CHOCO CHIPS(8.4%), [SUGAR, EDIBLE VEGETABLE FAT (HYDROGENATED OILS), COCOA SOLIDS, DEXTROSE, EMULSIFIER (SOY LECITHIN) AND ARTIFICIAL FLAVOURING SUBSTANCES (VANILLA)], INVERT SUGAR SYRUP, COCOA SOLIDS (0.5%), IODISED SALT, RAISING AGENTS [503 (ii), 500 (ii)] AND EMULSIFIER OF VEGETABLE ORIGIN (472e) CONTAINS PERMITTED NATURAL FOOD COLOURS [ 150c, 150d ] AND ADDED FLAVOUR (ARTIFICIAL FLAVOURING SUBSTANCES - CHOCOLATE).",469,15.9,8.6,75.2,31,0,6.1,0,0.205,e,21,4 - Ultra processed food and drink products
7622202334009,dairy milk,"Cadbury, Dairy Milk",Milk chocolates,,525,27.9,18.7,62.6,58.8,0,6.8,0.2675,0.107,e,32,
8906010500627,Chataka Pataka Tangy Tomato,Balaji,"Crisps, Chatapataka, Chis","Rice meal (42%), edible vegetable oil (palmolein, rice bran), corn meal (13%), chickpea flour, sugar, edible common salt, dehydrated vegetable powder (tomato (0.8%), onion, garlic), chilli powder, anticaking agent (ins 551), emulsifier (ins 414), flavour enhancer (ins 627, ins 631), natural & nature identical flavouring substances (tomato).",554,33.2,16,56.2,5,0,6.5,1.775,0.71,e,25,4 - Ultra processed food and drink products
8901491100519,Kurkure,Kurkure,"Crisps, Namkeen","Cereal Products (66%) (Rice Meal (43.5%), Corn Meal (23%)), Edible Vegetable Oil (Palmolein),*Seasoning (~Spices and Condiments, lodised Salt, Sugar, Flavour (Natural and Nature Identical Flavouring Substances), Black Salt, Tomato Powder, Acidity Regulators (330, 296, 334), Colour(160c), Maltodextrin) , Gram Meal (0.5%).",557,33.7,7.7,57.7,2.2,0,6,1.99,0.796,e,22,4 - Ultra processed food and drink products
8901063029255,Jimjam 57g (57),Britannia,Biscuits,"REFINED WHEAT FLOUR (MAIDA), SUGAR (24%), REFINED PALM OIL & INTERESTERIFIED VEGETABLE FAT, INVERT SUGAR SYRUP, DEXTROSE, MILK PRODUCTS (MILK SOLIDS & SWEETENED CONDENSED MILK), EDIBLE MAIZE STARCH, MALTODEXTRIN, FRUIT PRODUCTS (0.7%) (APPLE JUICE CONCENTRATE, BANANA POWDER & PLUM JUICE CONCENTRATE), IODISED SALT, EMULSIFIERS [322(i) & 471], RAISING AGENTS [503(ii) & 500(ii)], NATURE IDENTICAL AND ARTIFICIAL (MIXED FRUIT, VANILLA & BUTTER) FLAVOURING SUBSTANCES, ACIDITY REGULATORS (330 & 331), GELLING AGENT (440) AND COLOUR (122). (Numbers in brackets as per International Numbering System) CONTAINS WHEAT, MILK AND SOYA. ydrate-73g, of which Total 31 Total Fat-19g/141 no unsaturated fatty acids-7.29 fss Lic. No. 10015 100120260N For Mfg unit address & Lic. No. read the last two characters of CWALIOR 474005, MADHYA PRADESH Lic. No. the &quot;Lot No. and see address panel. 06-1.8. MANGHARAM FOODS 01129",483,19,9.5,73,32.9,0,5,0,211,d,18,4 - Ultra processed food and drink products
8906010502119,Chataka pataka,Balaji,"Crisps, Chataka pataka",,551,32.7,15,55.5,1,1,6.8,1,0.4,d,14,
8906010502294,Flaming hot nachos,,Crisps,"CORN (74%), EDIBLE VEGETABLE OIL (PALMOLEIN, RICE BRAN), EDIBLE COMMON SALT, CHILLI POWDER, BLACK SALT, MALTODEXTRIN, DEHYDRATED VEGETABLE POWDER (GARLIC, ONION, LEMON), HYDROLYZED VEGETABLE PROTEIN (SOYA), ACIDITY REGULATOR (INS 330), FLAVOUR ENHANCER (INS 627, INS 631), YEAST EXTRACT, OREGANO, ANTICAKING AGENT (INS 551), NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES (CHILLI, LEMON), PAPRIKA EXTRACT (INS 160C).",557,30.9,14,57,0.1,0,9,1.79,0.716,e,24,4 - Ultra processed food and drink products
8906010500078,Balaji Farali Chivda,Balaji Namkeen,Snacks,"POTATO (75%) ROASTED PEANUT (12%), EDIBLE VEGETABLE OIL, SUGAR, ROCK SALT, SPICES & CONDIMENTS (CHILLI, TURMERIC, DRY MANGO, CLOVE, CAROM SEED, CARDAMOM NUTMEG, MACE, BAY LEAVES).",589,38.9,14,8,8,7.6,15.2,1.01,0.404,d,17,3 - Processed foods
8901491366052,Puffcorn,Kurkure,"Crackers (Appetizers), Corn chips, Puffed salty snacks","Cereal Products (67%) (Corn Meal (53%). Rice Meal), Edible Vegetable Oil (Palmolein), ++Seasoning (Sugar, lodised Salt, Maltodextrin, &quot;Spices and Condiments, Milk Solids, Cheese, Salt Substitute (Potassium Chloride), Flavour (Natural and Nature Identical Flavouring Substances), Flavour Enhancers (627, 631), Acidity Regulators (296, 330), Emulsifying & Stabilising Agent (331 (iii), 471, 327), Gram Meal, Firming Agent (170(i)), lodised Salt. **As flavouring agent. ~Contains Onion and Garlic ALLERGEN ADVICE: Contains Soy, Milk, Wheat",555,34.5,16,56.2,1,0,6,2.23,0.892,e,27,4 - Ultra processed food and drink products
8901719135248,Krackjack,Parle,Biscuits,"REFINED WHEAT FLOUR (MAIDA), REFINED OILS (PALMOLEIN AND PALM), SUGAR (19.1%), RAISING AGENTS [ 503 (ii), 10 (ii), 341 (i) ], INVERT SUGAR SYRUP, IODISED SALT(0.9%) YEAST, ACIDITY REGULATORS [270,296], FLOUR TREATMENT AGENTS [223,1101 (ii),1100(i)], EMULSIFIER OF VEGETABLE ORIGIN [472e] CONTAINS ADDED FLAVOURS (ARTIFICIAL FLAVOURING SUBSTANCE-VANILLA, BUT ER)",489,19.9,9.4,70.5,19.6,0,6.8,0.9275,0.371,e,24,4 - Ultra processed food and drink products
8906010501570,Balaji Wafers Crunchex,Balaji,"Crisps, Salty snacks made from potato, Kurkure","POTATO (84%), EDIBLE VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWINGS: PALMOLEIN, GROUNDNUT), **SEASONING [SUGAR, MALTODEXTRIN, SALT, SPICES & CONDIMENTS (CHILLI (0.5%), PEPPER), DEHYDRATED VEGETABLE POWDER (ONION, GARLIC, TOMATO), BLACK SALT, ACIDITY REGULATOR (INS 330, INS 296, INS 334), MILK SOLIDS (0.1%), HYDROLYZED VEGETABLE PROTEIN SOYA), ANTICAKING AGENT (INS 551), FLAVOUR ENHANCER (INS 627, INS 631) FLAVOUR (NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES), PAPRIKA EXTRACT (INS 160C), STABILIZER (INS 340), EMULSIFIER (INS 470)]",545,30.7,14.4,55,3.8,9.3,7.5,0.002418,0.000967,d,12,4 - Ultra processed food and drink products
8996001312506,Malkist Cheese Flavoured Crunchy Layered Cracker Biscuits,Mayora,"Biscuits, Crackers (Appetizers), cream-biscuit","Refined Wheat Flour Edible Vegetable Oil (Palmolein) Sugar (15.8%), Whey Powder, Glucose Syrup, Milk Solids (1.67%)(SMP), Cheese Powder (Cheese, Maltodextrin)(1.62%), Tapioca Starch, Leavening Agent (E503(ii), E500(ii)), Edible Common Salt, Baker's Yeast, Malt Extract (0.42%), Butter, Artificial Flavouring Substance (Cheese), Emulsifier (Soy Lecithin E322(i)), Vitamin Premix (Thiamine Mononitrate, Riboflavin, Pyridoxine Hydrochloride, Cyanocobalamin), Permitted Synthetic Food Colour (E102, E110).",491,22.8,15.3,63.7,16.5,0,7.7,1.3575,0.543,e,26,4 - Ultra processed food and drink products
8901058005233,Kitkat mini chocolate coated wafer,"KitKat, Nestle nutrition","Chocolate candies, Bars, Chocolate biscuits, Dark chocolate bar","Sugar, Milk Solids. Fractionated vegetable Fat, Hydrogenated Vegetable fats, Refined Wheat flour (Maida), Cocoa solids (4.5%), Emulsifier (Soya lecithin), Yeast, Raising agent, Artificial flavouring substance (vanilla), Iodised salt, Flour treatment agent (516) and Nature Identical flavoring substance",438,24.8,24.5,47.4,35.1,0,6.4,0.2435,0.0974,e,26,4 - Ultra processed food and drink products
8901063023901,Marie Gold,Britannia,"Biscuits, Snack biscuit with fruits filling","REFINED WHEAT FLOUR (MAIDA)(73%), SUGAR, REFINED PALM OIL, INVERT SUGAR SYRUP, MILK SOLIDS, RAISING AGENTS [503(ii) & 500 (ii)], IODIZED SALT, EMULSIFIER(472e), CALCIUM SALT, DOUGH CONDITIONER(223), VITAMINS*, FERROUS SALT AND POTASSIUM IODATE. CONTAINS PERMITTED NATURAL COLOUR (150d) AND ADDED FLAVOURS NATURE IDENTICAL & ARTIFICIAL (MILK & VANILLA) FLAVOURING SUBSTANCES] (Numbers in brackets as per International Numbering System) CONTAINS WHEAT, MILK AND SULPHITE.",445,10.7,5.2,78.9,21.9,0,8.4,0.7975,0.319,e,19,4 - Ultra processed food and drink products
8901719135118,MONACO,Parle,"Appetizers, Biscuits, Monaco-biscuit",Biscuit,492,20.9,9.7,68,8.4,0,7.9,0,0,d,12,3 - Processed foods
8901063162532,Marie gold,Britannia,Biscuits,,445,10.6,5.1,79.5,21.2,0,7.9,0,0,d,16,
8901491361026,Kurkure Masala Munch,"Kurkure, PepsiCo","Crisps, Crackers (Appetizers), Puffed salty snacks, Masala-munch-with-gingelly-oil","Cereal Products(61%)(Rice Meal(42%),Corn Meal(19%),Edible vegetable oil(palmolein,sesame oil),*Seasoning(~spices and condiments,iodised salt,maltodextrin,sugar,black salt,acidity regulators(330,296,334),tomato powder,hydrolysed soy protein,flavour(natiral and nature identitical flavouring substances),Dxtrose,emulsfier(414),milk solids,edibile starch,flavour enhancers(627&631)),Gram meal(3%) *as flavouring agent . ~contains onion and garlic",558,34.7,15.6,55.2,1,0,6.4,2.23,0.892,e,27,4 - Ultra processed food and drink products
8906010500863,Shing Bhujiya - Nimbu Chatka,Balaji Wafers,"Appetizers, Bhujia, Shing-bhujiq",,616,44.2,11.4,28.1,3.1,0,20.2,2.7725,1.109,e,30,
8906010500214,Balaji Wafers Sev Murmura,Balaji Wafers,"Snacks, Puffed rice","PUFFED RICE (50%), CHICKPEA FLOUR (24%), EDIBLE VEGETABLE OIL (PALMOLEIN, RICE BRAN, CORN), RICE FLOUR, EDIBLE COMMON SALT, SPICES&CONDIMENTS (TURMERIC, CHILLI, CLOVE, GINGER, ASAFOETIDA, CURRY LEAVES), REFINED WHEAT FLOUR (MAIDA), GUM ACACIA.",507,23.4,11,60.6,0,5,10.9,2.02,0.808,e,24,4 - Ultra processed food and drink products
8906032018513,Doodh Biscuits,Patanjali,Biscuits,"Wheat Flour (Atta )- 58.6%, Edible Vegetable Oil (Palm), Sugar, Liquid Glucose, Milk Solids (1.7%), lodized Salt, Leavening agents [INS-500(ii), INS 503(ii), INS - 341(1), Cheese, Dough Conditioner (INS 223), Antioxidant (INS 319), Emulsifier [INS 322). Natural, Nature Identical Artificial Flavouring Substances (Milk & Vanilla). CONTAINS WHEAT, MILK, SOY, SULPHITE",468,17,8.3,72,24,6,7.2,0.8725,0.349,e,20,4 - Ultra processed food and drink products
8906010500016,Simply Salted,Balaji Wafers,Crisps,"Potato (89%), Edible Vegetable Oil (Palmolein), Iodized Salt (0.4%).",554,32.9,15.7,53.4,0.8,7.2,7.7,0.9625,0.385,d,16,3 - Processed foods
8901491001168,Masala munch,,Appetizers,,558,34.6,15.6,55.2,1,0,6.4,2.23,0.892,e,27,
8901725118938,Bingo Tedhe Medhe,Bingo,"Crisps, Plain salty snacks",chili powder extra,546,32.8,15.5,57.3,1.7,0,5.5,1.846,0.7384,e,25,
0716270001660,Ginger Crystallized In Dark Chocolate,Chocolove,"Candied fruits, Ginger, Crystallized ginger, Groceries","dark chocolate (cocoa liquor*, sugar, cocoa butter*, soy lecithin, vanilla), crystallized ginger (ginger, sugar)",500,33.33,20,53.33,40,10,6.67,0,0,not-applicable,0,4 - Ultra processed food and drink products
8901719105913,parle hide & seek 120g,PARLE,Chocolate biscuits,"Refined wheat flour (maida), chocolate 23% (sugar, cocoa solids, cocoa butter, dextrose), sugar, refined palm oil, invert sugar syrup, raising agent, cocoa solids, iodised salts",479,18,9.4,73.4,32.2,0,5.9,0,0,e,23,4 - Ultra processed food and drink products
8901719121630,20-20,Parle,"Confectioneries, Biscuits",,482,18.6,8.5,71.9,24.1,0,6.7,0.6,0.24,e,23,
8901719130014,Happy happy biscuit - Parle - Parle,Parle,"Biscuits, Happy happy",,489,20.1,10.6,71.5,31,0,5.5,0,0,d,18,
8901491101844,Lay's Potato Chips,Lay's,Flavoured potato crisps,"potato, edible vegetable oil (sunflower oil, corn oil, and/or canola oil), spices and condiments (onion powder, chilli powder, dry mango powder, coriander powder, ginger powder, garlic powder, black pepper powder, turmeric powder, cumin powder, salt, black salt, sugar, tomato powder, citric acid, tartaric acid, natural flavors (e160b)",538.981835,33.1,14.5,53.4,2.5,0,6.9,2.065,0.826,e,26,4 - Ultra processed food and drink products
8904004400731,Aloo bhujia,Haldiram's,"Snacks, Namkeen","Potato, Refined Palmolein Oil, Bengal Gram Hour (Besan), Potato Flakes,Potato Starch Tapioca Starch, Tapary Beans (Moth Dal) Flour, iodised Salt, Red Chilli Powder, Black Salt, Acidity Regulator (INS 330), Black Pepper, Clove, Cardamom, Dried Ginger Powder, Dried Garlic Powder, Refined Sugar, Cumin Powder, Bay Leaves, Nutmeg, Cinnamon and Mint Leaves CONTAINS ADDED NATURAL, NATURE IDENTICAL",569,38.12,16.5,46.1,0.25,3.56,8.68,1.5375,0.615,e,23,3 - Processed foods
8904004400236,Haldiram's Soya sticks,Haldirams,"Snacks, Soya snack","Tapioca Starch, Edible Vegetable Oil (Palmolein, Cotton Seed, Corn, Sunflower, Rice Bran), Soya Flour (9%), Split Pulse Urad (Urad Dal) Flour, Mixed Spices (Refined Sugar, lodised Salt, Maltodextrin, Black Salt, Red Chilli Powder, Dried Mango Powder, Onion Powder, Glucose Powder, Preservative (INS 262 i), Coriander Powder, Cumin Powder, Fennel, Whey Powder, Ginger Powder, Garlic Powder, Clove Powder, Yeast Extract, Pipal, Black Pepper, Acidity Regulator (INS 296), Flavour Enhancer (INS 627, INS 631), Turmeric Powder, Anticaking Agent (INS 551), Bay Leaves, Acidity Regulator (INS 330), Colour (INS 160 c), Nutmeg, Capsicum Powder, Cinnamon & Asafoetida), Hydrogenated Vegetable Oil (Vanaspati), Natural Flavouring Substance And Nature Identical Flavouring Substance Allergen: Contains Soy & Milk May Contains Wheat & Nut.",554,38.21,18.56,45,1.86,5.26,7.46,0,0,c,4,4 - Ultra processed food and drink products
8904004403718,Moong Dal,Haldiram's,"Crisps, Mung beans, Vegan, Vegetarian","Split Pulse Moong (Moong Dal) (77 %), Cotton Seed Oil Refined & lodised Salt.",476,20.93,5.64,50.66,0,7.52,21.31,0.975,0.39,c,3,3 - Processed foods
8901719117183,Hide & Seek,Parle,Biscuits,,470,18.6,9.4,73.4,32.5,0,5.9,0.285,0.114,e,24,
8901491101837,Lays Classics Salted 20rs,Lay's,Potato crisps,"Potato, Edible Vegetable Oil  (Palmolein Oil), &quot;Seasoning (Maltodextrin, lodised Salt, &quot;Spices & Condiments, Sugar, Flavour (Natural and Nature Identical Flavouring Substances), Anticaking Agent (551), Flavour Enhancers (627, 631), Edible Vegetable Oil (Palm)).  &quot;As flavouring agent. &quot;Contains Onion & Garlic",554,35.5,14,51.7,2.6,0,7,0.51,0.204,d,18,4 - Ultra processed food and drink products
8906010501228,Scoopitos Masala Flavour,Balaji Wafers,Crisps,,519,27.8,0,57.8,40,4.8,7.1,3.3825,1.353,unknown,0,
8901719135217,Krackjack,Parle,Biscuits,"REFINED WHEAT FLOUR (MAIDA), REFINED OILS (PALM AND PALMOLEIN), SUGAR (17%), RAISING AGENTS [ 503 (ii), 500 (ii),341 (i) ], INVERT SUGAR SYRUP, IODISED SALT (0.9%), YEAST, ACIDITY REGULATORS [ 270, 296 ], FLOUR TREATMENT AGENTS [223, 1101 (ii), 1100(i) ], EMULSIFIER OF VEGETABLE ORIGIN [DIACETYLTARTARIC AND FATTY ACID ESTERS OF GLYCEROL ] CONTAINS ADDED FLAVOURS (ARTIFICIAL FLAVOURING SUBSTANCES - VANILLA, BUTTER).",489,19.9,9.4,70.5,19.6,0,0,0.9275,0.371,unknown,0,4 - Ultra processed food and drink products
8901063093287,Good Day Cashew Cookies,Britannia,Biscuits,"REFINED WHEAT FLOUR, SUGAR, EDIBLE VEGETABLE OIL (PALM), CASHEW NUTS (4.5%), BUTTER (3%), INVERT SYRUP, MILK SOLIDS, RAISING AGENTS (INS 503, INS 500), EDIBLE COMMON SALT AND EMULSIFIERS (INS 322, INS 471, INS 472e)",504,24,11,65,22,0,7,0,0,e,22,4 - Ultra processed food and drink products
8904004402261,PHALHARI CHIWDA,Haldiram,Appetizers,"Potato, (Peanuts), Refined Palmolein Oil, Refined Sugar, Rock Salt, Red Chilli, Black Pepper, Poppy Seed, Dried Ginger Powder, Clove Powder, Cumin, Nutmeg, Cardamom & Cinnamon. Groundnut",595.555556,42,8.666667,38,10,4.444444,14.222222,0.5588,0.22352,d,17,3 - Processed foods
8901491503051,West Indies' Hot 'n' Sweet Chilli Potato Chips,Lay's,Potato crisps,"Potato, Edible Vegetable Oil (Palmolein Oil), *Seasoning (Sugar, Maltodextrin, lodised Salt, Flavour (Natural and Nature Identical Flavouring Substances), &quot;Spices & Condiments, Flavour Enhancers (627 & 631), Edible Vegetable Oil (Palm, Sunflower, Peanut), Hydrolysed Vegetable Protein, Anticaking agent (551), Cocoa Solids, Lactose). &quot;As flavouring agent. &quot;Contains Onion and Garlic",534,31.9,0,55.4,0,0,6.3,0,0,unknown,0,4 - Ultra processed food and drink products
8901491101813,Lays american cream onion,"Lay's, PepsiCo",Flavoured potato crisps,"Potato (83%). Edible Vegetable Oil&quot;.  *Seasoning (Sugar, lodised Salt, Milk Solids (1.2%), Spices and Condiments, Maltodextrin, Flavour (Natural and Nature Identical Flavouring Substances), Cheese Powder (0.3%), Hydrolysed Vegetable Protein, Flavour Enhancers (627, 631), Edible Vegetable Oil (Palm, Coconut)).  As flavouring agent.  To know the specific type of oil used and its saturated fat value, match the symbol or # with the last character of batch number where ◊ denotes Palmolein and # denotes Rice Bran Oil.",537,33.1,12.5,53,3.4,0,6.7,1.6075,0.643,e,24,4 - Ultra processed food and drink products
8901058903164,KitKat win gold,Nestlé,"fr:Barre chocolatée biscuitée type KitKat, Sweet snacks candies","Sugar, Milk solids (16.2%),Fractionated vegetable fat,  Hydrogenated vegetable fats,Refined Wheat flour (Maida), Cocoa solids (4.5%), Emulsifier (Soya lecithin), Yeast,Raising agent (500(ii))Artificial (Vanilla)flavouring substance, lodized salt, Flour treatment agent (516), and Nature-Identical flavouring substances Contains Wheat, Milk, Sesame and Soy. May Contains Nut.",436.363636,24.935065,24.935065,47.792208,35.324675,0,6.233766,0.244156,0.097662,e,26,4 - Ultra processed food and drink products
8901725015275,Dark Fantasy,Sunfeast is sold by ITC Limited,"Biscuits, Chocolates","CHOCO CRÈME (38.0%) (SUGAR, REFINED PALMOLEIN, REFINED PALM OIL, COCOA SOLIDS, EMULSIFIER [LECITHIN (FROM SOYABEAN)], NATURE IDENTICAL FLAVOURING SUBSTANCES (CHOCOLATE), ARTIFICIAL FLAVOURING SUBSTANCES (VANILLA)), MAIDA (REFINED WHEAT FLOUR), HYDROGENATED VEGETABLE OIL, SUGAR, INVERT SYRUP, LIQUID GLUCOSE, RAISING AGENTS [INS 503(ii), INS 500(ii), INS 450(i)], COCOA SOLIDS (0.7%), BUTTER, MILK SOLIDS, IODIZED SALT, NATURE IDENTICAL FLAVOURING SUBSTANCES (MILK CHOCOLATE), COLOURS (INS 150c, INS 150d), EMULSIFIERS [LECITHIN (FROM SOYABEAN), MONO AND DIGLYCERIDES OF FATTY ACIDS (FROM PALM OIL)], ARTIFICIAL FLAVOURING SUBSTANCES (MILK, VANILLA). CONTAINS WHEAT, MILK, SOY. MAY CONTAIN NUT, SULPHITE.",507,27.3,12.7,61.1,35.7,0,7.3,0.45375,0.1815,e,28,4 - Ultra processed food and drink products
